"";"A41F";"A41G";"A41H";"A42B";"A42C";"A43B";"A43C";"A43D";"A44B";"A44C";"A44D";"A45B";"A45C";"A45D";"A45F";"A46B";"A46D";"A47B";"A47C";"A47D"
"A01B";0,238095238095238;0,0476190476190476;0,111111111111111;0,365079365079365;0,0634920634920635;0,4;0,333333333333333;0,285714285714286;0,476190476190476;0,301587301587302;0,158730158730159;0,26984126984127;0,423529411764706;0,253968253968254;0,397435897435897;0,476190476190476;0,253968253968254;0,431818181818182;0,462365591397849;0,206349206349206
"A01C";0,166666666666667;0,0454545454545455;0,0909090909090909;0,348484848484848;0,0606060606060606;0,439393939393939;0,287878787878788;0,272727272727273;0,424242424242424;0,257575757575758;0,121212121212121;0,257575757575758;0,447058823529412;0,333333333333333;0,358974358974359;0,454545454545455;0,227272727272727;0,431818181818182;0,408602150537634;0,257575757575758
"A01D";0,245283018867925;0,0188679245283019;0,113207547169811;0,26984126984127;0,0566037735849057;0,384615384615385;0,358490566037736;0,283018867924528;0,39344262295082;0,264150943396226;0,169811320754717;0,245283018867925;0,376470588235294;0,207547169811321;0,320512820512821;0,403508771929825;0,207547169811321;0,352272727272727;0,387096774193548;0,233333333333333
"A01F";0,166666666666667;0,0416666666666667;0,0625;0,206349206349206;0,0416666666666667;0,292307692307692;0,3125;0,25;0,278688524590164;0,270833333333333;0,166666666666667;0,291666666666667;0,258823529411765;0,188679245283019;0,243589743589744;0,333333333333333;0,166666666666667;0,295454545454545;0,301075268817204;0,2
"A01G";0,257142857142857;0,0476190476190476;0,0761904761904762;0,352380952380952;0,0666666666666667;0,361904761904762;0,247619047619048;0,2;0,314285714285714;0,276190476190476;0,0952380952380952;0,276190476190476;0,504761904761905;0,304761904761905;0,380952380952381;0,40952380952381;0,19047619047619;0,59047619047619;0,59047619047619;0,276190476190476
"A01H";0,275862068965517;0,0344827586206897;0,0862068965517241;0,285714285714286;0,0517241379310345;0,292307692307692;0,206896551724138;0,224137931034483;0,311475409836066;0,310344827586207;0,172413793103448;0,241379310344828;0,294117647058824;0,344827586206897;0,294871794871795;0,293103448275862;0,224137931034483;0,261363636363636;0,247311827956989;0,266666666666667
"A01J";0,222222222222222;0,0681818181818182;0,159090909090909;0,222222222222222;0,0909090909090909;0,215384615384615;0,181818181818182;0,266666666666667;0,377049180327869;0,260869565217391;0,136363636363636;0,340909090909091;0,329411764705882;0,245283018867925;0,320512820512821;0,385964912280702;0,318181818181818;0,295454545454545;0,268817204301075;0,283333333333333
"A01K";0,211009174311927;0,055045871559633;0,110091743119266;0,348623853211009;0,0642201834862385;0,36697247706422;0,220183486238532;0,220183486238532;0,339449541284404;0,256880733944954;0,110091743119266;0,220183486238532;0,477064220183486;0,275229357798165;0,376146788990826;0,330275229357798;0,18348623853211;0,532110091743119;0,55045871559633;0,321100917431193
"A01L";0,111111111111111;0;0,147058823529412;0,174603174603175;0,153846153846154;0,138461538461538;0,214285714285714;0,155555555555556;0,163934426229508;0,173913043478261;0,230769230769231;0,186046511627907;0,152941176470588;0,150943396226415;0,153846153846154;0,175438596491228;0,228571428571429;0,170454545454545;0,150537634408602;0,15
"A01M";0,257142857142857;0,0428571428571429;0,128571428571429;0,385714285714286;0,0857142857142857;0,414285714285714;0,242857142857143;0,257142857142857;0,385714285714286;0,171428571428571;0,157142857142857;0,257142857142857;0,411764705882353;0,257142857142857;0,371794871794872;0,342857142857143;0,171428571428571;0,420454545454545;0,376344086021505;0,328571428571429
"A01N";0,214285714285714;0,0285714285714286;0,1;0,342857142857143;0,0857142857142857;0,428571428571429;0,228571428571429;0,228571428571429;0,385714285714286;0,228571428571429;0,142857142857143;0,171428571428571;0,423529411764706;0,385714285714286;0,358974358974359;0,428571428571429;0,242857142857143;0,386363636363636;0,397849462365591;0,328571428571429
"A21B";0,288888888888889;0,0444444444444444;0,266666666666667;0,26984126984127;0,133333333333333;0,369230769230769;0,355555555555556;0,311111111111111;0,344262295081967;0,369565217391304;0,155555555555556;0,355555555555556;0,341176470588235;0,339622641509434;0,256410256410256;0,385964912280702;0,288888888888889;0,329545454545455;0,333333333333333;0,25
"A21C";0,254545454545455;0,0545454545454545;0,218181818181818;0,301587301587302;0,0545454545454545;0,323076923076923;0,218181818181818;0,309090909090909;0,39344262295082;0,309090909090909;0,109090909090909;0,236363636363636;0,4;0,381818181818182;0,333333333333333;0,456140350877193;0,290909090909091;0,409090909090909;0,354838709677419;0,35
"A21D";0,175;0,05;0,1375;0,2625;0,075;0,375;0,175;0,2375;0,2625;0,275;0,1375;0,225;0,470588235294118;0,3;0,3375;0,325;0,2375;0,465909090909091;0,43010752688172;0,3375
"A22B";0,0888888888888889;0,0303030303030303;0,0882352941176471;0,111111111111111;0,0606060606060606;0,0923076923076923;0,142857142857143;0,111111111111111;0,229508196721311;0,130434782608696;0,151515151515152;0,13953488372093;0,188235294117647;0,188679245283019;0,205128205128205;0,245614035087719;0,257142857142857;0,170454545454545;0,150537634408602;0,216666666666667
"A22C";0,138461538461538;0,0307692307692308;0,123076923076923;0,261538461538462;0,0615384615384615;0,323076923076923;0,184615384615385;0,230769230769231;0,384615384615385;0,184615384615385;0,107692307692308;0,169230769230769;0,352941176470588;0,276923076923077;0,307692307692308;0,384615384615385;0,184615384615385;0,386363636363636;0,311827956989247;0,323076923076923
"A23B";0,183908045977012;0,0459770114942529;0,103448275862069;0,298850574712644;0,0574712643678161;0,298850574712644;0,183908045977012;0,195402298850575;0,252873563218391;0,195402298850575;0,114942528735632;0,195402298850575;0,35632183908046;0,206896551724138;0,344827586206897;0,241379310344828;0,137931034482759;0,397727272727273;0,387096774193548;0,275862068965517
"A23C";0,191780821917808;0,0273972602739726;0,123287671232877;0,246575342465753;0,0547945205479452;0,328767123287671;0,191780821917808;0,178082191780822;0,342465753424658;0,232876712328767;0,150684931506849;0,150684931506849;0,423529411764706;0,315068493150685;0,346153846153846;0,315068493150685;0,273972602739726;0,397727272727273;0,279569892473118;0,383561643835616
"A23D";0,149253731343284;0,0597014925373134;0,104477611940299;0,298507462686567;0,0149253731343284;0,313432835820896;0,164179104477612;0,26865671641791;0,223880597014925;0,17910447761194;0,104477611940299;0,164179104477612;0,352941176470588;0,238805970149254;0,307692307692308;0,238805970149254;0,208955223880597;0,306818181818182;0,268817204301075;0,328358208955224
"A23F";0,263157894736842;0,0526315789473684;0,175438596491228;0,301587301587302;0,087719298245614;0,261538461538462;0,210526315789474;0,315789473684211;0,295081967213115;0,333333333333333;0,175438596491228;0,315789473684211;0,317647058823529;0,298245614035088;0,294871794871795;0,280701754385965;0,228070175438596;0,284090909090909;0,258064516129032;0,333333333333333
"A23G";0,278481012658228;0,0126582278481013;0,151898734177215;0,341772151898734;0,0759493670886076;0,443037974683544;0,20253164556962;0,265822784810127;0,367088607594937;0,379746835443038;0,151898734177215;0,227848101265823;0,494117647058824;0,341772151898734;0,367088607594937;0,392405063291139;0,227848101265823;0,465909090909091;0,419354838709677;0,341772151898734
"A23J";0,180327868852459;0,0491803278688525;0,0655737704918033;0,26984126984127;0,0327868852459016;0,261538461538462;0,213114754098361;0,180327868852459;0,344262295081967;0,229508196721311;0,131147540983607;0,180327868852459;0,329411764705882;0,295081967213115;0,282051282051282;0,295081967213115;0,180327868852459;0,318181818181818;0,247311827956989;0,311475409836066
"A23K";0,206896551724138;0,0114942528735632;0,0919540229885058;0,264367816091954;0,0344827586206897;0,344827586206897;0,183908045977012;0,206896551724138;0,28735632183908;0,264367816091954;0,114942528735632;0,183908045977012;0,505747126436782;0,298850574712644;0,413793103448276;0,344827586206897;0,218390804597701;0,488636363636364;0,473118279569892;0,35632183908046
"A23L";0,20952380952381;0,019047619047619;0,142857142857143;0,333333333333333;0,0666666666666667;0,419047619047619;0,228571428571429;0,276190476190476;0,352380952380952;0,276190476190476;0,152380952380952;0,228571428571429;0,533333333333333;0,295238095238095;0,40952380952381;0,371428571428571;0,238095238095238;0,552380952380952;0,514285714285714;0,342857142857143
"A23N";0,215686274509804;0,0392156862745098;0,156862745098039;0,26984126984127;0,137254901960784;0,230769230769231;0,215686274509804;0,372549019607843;0,311475409836066;0,215686274509804;0,176470588235294;0,294117647058824;0,282352941176471;0,264150943396226;0,282051282051282;0,263157894736842;0,215686274509804;0,25;0,21505376344086;0,35
"A23P";0,246913580246914;0,0246913580246914;0,123456790123457;0,283950617283951;0,0493827160493827;0,395061728395062;0,185185185185185;0,308641975308642;0,320987654320988;0,296296296296296;0,160493827160494;0,222222222222222;0,541176470588235;0,320987654320988;0,444444444444444;0,358024691358025;0,234567901234568;0,5;0,397849462365591;0,382716049382716
"A23V";0,19;0,01;0,1;0,3;0,06;0,41;0,25;0,25;0,32;0,25;0,14;0,2;0,5;0,31;0,38;0,34;0,22;0,51;0,48;0,36
"A23Y";0,177777777777778;0,0232558139534884;0,186046511627907;0,158730158730159;0,0697674418604651;0,184615384615385;0,13953488372093;0,177777777777778;0,19672131147541;0,239130434782609;0,209302325581395;0,116279069767442;0,211764705882353;0,207547169811321;0,217948717948718;0,175438596491228;0,27906976744186;0,147727272727273;0,118279569892473;0,283333333333333
"A24B";0,244444444444444;0,125;0,117647058823529;0,158730158730159;0,09375;0,230769230769231;0,214285714285714;0,177777777777778;0,147540983606557;0,239130434782609;0,15625;0,116279069767442;0,223529411764706;0,207547169811321;0,256410256410256;0,192982456140351;0,142857142857143;0,215909090909091;0,21505376344086;0,166666666666667
"A24C";0,244444444444444;0,142857142857143;0,166666666666667;0,19047619047619;0,0476190476190476;0,215384615384615;0,214285714285714;0,2;0,245901639344262;0,260869565217391;0,0714285714285714;0,186046511627907;0,211764705882353;0,283018867924528;0,192307692307692;0,263157894736842;0,19047619047619;0,284090909090909;0,21505376344086;0,0833333333333333
"A24D";0,155555555555556;0,125;0,147058823529412;0,111111111111111;0,0416666666666667;0,169230769230769;0,142857142857143;0,133333333333333;0,147540983606557;0,152173913043478;0,166666666666667;0,0930232558139535;0,141176470588235;0,188679245283019;0,128205128205128;0,157894736842105;0,2;0,136363636363636;0,129032258064516;0,0833333333333333
"A24F";0,288888888888889;0,133333333333333;0,0666666666666667;0,26984126984127;0,0444444444444444;0,261538461538462;0,2;0,222222222222222;0,229508196721311;0,347826086956522;0,111111111111111;0,222222222222222;0,282352941176471;0,339622641509434;0,294871794871795;0,333333333333333;0,244444444444444;0,25;0,258064516129032;0,216666666666667
"A41B";0,35;0,0666666666666667;0,216666666666667;0,46031746031746;0,1;0,446153846153846;0,216666666666667;0,3;0,491803278688525;0,333333333333333;0,166666666666667;0,3;0,447058823529412;0,366666666666667;0,423076923076923;0,433333333333333;0,25;0,431818181818182;0,376344086021505;0,3
"A41C";0,355555555555556;0,135135135135135;0,297297297297297;0,238095238095238;0,108108108108108;0,307692307692308;0,166666666666667;0,266666666666667;0,213114754098361;0,326086956521739;0,162162162162162;0,255813953488372;0,294117647058824;0,30188679245283;0,243589743589744;0,333333333333333;0,324324324324324;0,238636363636364;0,225806451612903;0,233333333333333
"A41D";0,285714285714286;0,0595238095238095;0,202380952380952;0,404761904761905;0,0952380952380952;0,464285714285714;0,238095238095238;0,285714285714286;0,380952380952381;0,333333333333333;0,119047619047619;0,285714285714286;0,482352941176471;0,333333333333333;0,44047619047619;0,380952380952381;0,178571428571429;0,568181818181818;0,537634408602151;0,321428571428571
