"Additive manufacturing","Advanced Sustainable Materials","Aerospace & Defence","Agri-food","Air & Water pollution reduction","Artificial intelligence","Augmented reality","Autonomous robots","Autonomous vehicles","Batteries","Biofuels","Biotechnology","Blockchain","Cloud computing","Construction","Creative & Cultural Industries","Cybersecurity","Digital","Efficient power & combustion","Electronics","Energy Intensive Industries","Geothermal energy","Green buildings","Green transports","Greenhouse gas capture","Health","Hydrogen","Internet of things","Marine & hydro energy","Mobility, Transport & Automotive","Nanotechnology","Nuclear energy","Other energy storage","Quantum computers","Recycling technologies","Renewable Energy","Smart grids","Solar energy","Textile","Waste management","Water related adaptation technologies","Wind energy"
1,0.17,-0.02,-0.01,0,-0.02,-0.01,-0.03,-0.06,-0.02,0.2,0,-0.05,-0.04,-0.01,0,-0.03,0.01,-0.04,-0.01,0.62,-0.07,-0.07,-0.07,0.14,0.06,0.01,-0.03,-0.08,-0.04,0.18,0,-0.04,-0.03,0.14,-0.06,-0.1,-0.06,0.07,0.14,-0.03,-0.04
0.17,1,-0.02,0.05,-0.02,-0.01,0,-0.05,-0.04,-0.01,0.13,0.1,-0.06,-0.05,0.05,0.08,-0.04,0.04,-0.08,0.07,0.37,-0.08,-0.05,-0.03,0.04,0.05,-0.02,-0.04,-0.08,0.01,0.11,-0.02,-0.05,-0.01,0.07,-0.03,-0.1,-0.02,0.16,0.08,-0.03,-0.05
-0.02,-0.02,1,-0.06,-0.09,0.4,0.36,0.04,0.4,-0.04,-0.14,-0.07,0.82,0.64,-0.02,0.36,0.95,0.68,-0.09,0.25,-0.06,-0.12,-0.01,0,-0.12,-0.01,-0.1,0.84,-0.1,0.05,-0.08,-0.03,-0.1,0.28,-0.12,-0.05,0.39,-0.04,-0.05,-0.12,-0.04,-0.08
-0.01,0.05,-0.06,1,-0.01,-0.02,-0.02,-0.01,-0.02,-0.06,0.01,0.25,-0.07,-0.06,-0.01,-0.04,-0.07,-0.04,-0.09,-0.05,0.02,-0.06,-0.05,-0.07,-0.03,0.25,-0.06,-0.06,-0.06,-0.04,0.02,-0.05,-0.07,-0.06,-0.02,-0.08,-0.11,-0.07,0,0.02,0.13,-0.07
0,-0.02,-0.09,-0.01,1,-0.08,-0.08,-0.07,-0.07,0,0.2,-0.02,-0.1,-0.09,0.04,-0.07,-0.1,-0.08,0.06,-0.07,0.08,-0.06,-0.06,0.27,0.35,-0.02,0.04,-0.09,-0.03,0.01,-0.01,-0.04,-0.04,-0.08,0.28,-0.07,-0.1,-0.07,-0.02,0.22,0.06,-0.07
-0.02,-0.01,0.4,-0.02,-0.08,1,0.64,0.2,0.25,-0.04,-0.12,0.01,0.32,0.43,-0.02,0.5,0.41,0.71,-0.08,0.36,-0.05,-0.1,0.01,-0.08,-0.1,0.11,-0.08,0.44,-0.09,0.05,-0.03,-0.03,-0.09,0.31,-0.1,-0.02,0.16,0,-0.02,-0.1,-0.05,-0.07
-0.01,0,0.36,-0.02,-0.08,0.64,1,0.14,0.3,-0.04,-0.13,0,0.27,0.39,-0.02,0.6,0.35,0.72,-0.09,0.49,-0.04,-0.1,0.02,-0.08,-0.11,0.14,-0.09,0.4,-0.1,0.07,-0.02,-0.03,-0.1,0.31,-0.11,0.02,0.12,0.04,-0.01,-0.11,-0.06,-0.09
-0.03,-0.05,0.04,-0.01,-0.07,0.2,0.14,1,0.12,-0.06,-0.1,0.01,0.01,0.04,-0.03,0.09,0.03,0.13,-0.1,0.06,-0.05,-0.09,-0.06,-0.07,-0.09,0.11,-0.08,0.05,-0.09,-0.01,-0.05,-0.04,-0.08,0.01,-0.09,-0.07,-0.06,-0.06,-0.04,-0.09,-0.06,-0.08
-0.06,-0.04,0.4,-0.02,-0.07,0.25,0.3,0.12,1,0.01,-0.13,-0.07,0.23,0.25,0,0.25,0.3,0.38,-0.11,0.19,-0.07,-0.1,-0.03,0.07,-0.11,-0.03,-0.07,0.32,-0.09,0.27,-0.09,-0.04,-0.08,0.13,-0.12,-0.04,0.09,-0.02,-0.06,-0.11,-0.05,-0.08
-0.02,-0.01,-0.04,-0.06,0,-0.04,-0.04,-0.06,0.01,1,-0.02,-0.07,-0.06,-0.05,-0.03,-0.01,-0.06,-0.01,0.02,-0.03,0.06,0.04,0.06,0.56,-0.02,-0.05,0.67,-0.04,0.03,0.31,0.06,-0.05,0.69,-0.05,-0.03,0.03,0.17,0.04,-0.04,-0.02,-0.06,0
0.2,0.13,-0.14,0.01,0.2,-0.12,-0.13,-0.1,-0.13,-0.02,1,0.11,-0.15,-0.14,-0.02,-0.11,-0.15,-0.12,-0.01,-0.1,0.45,-0.07,-0.1,0.07,0.19,-0.03,0.02,-0.14,-0.07,-0.06,0.1,-0.04,-0.05,-0.11,0.46,-0.06,-0.15,-0.06,0.01,0.41,-0.03,-0.06
0,0.1,-0.07,0.25,-0.02,0.01,0,0.01,-0.07,-0.07,0.11,1,-0.08,-0.07,-0.05,-0.04,-0.07,-0.03,-0.09,-0.05,0,-0.08,-0.07,-0.09,-0.04,0.56,-0.06,-0.07,-0.07,-0.06,0.12,-0.05,-0.08,-0.05,-0.03,-0.09,-0.11,-0.08,0.01,-0.02,-0.02,-0.08
-0.05,-0.06,0.82,-0.07,-0.1,0.32,0.27,0.01,0.23,-0.06,-0.15,-0.08,1,0.62,-0.05,0.26,0.89,0.56,-0.11,0.18,-0.08,-0.13,-0.04,-0.07,-0.12,-0.03,-0.11,0.8,-0.12,0,-0.1,-0.05,-0.12,0.22,-0.13,-0.08,0.33,-0.07,-0.06,-0.13,-0.07,-0.1
-0.04,-0.05,0.64,-0.06,-0.09,0.43,0.39,0.04,0.25,-0.05,-0.14,-0.07,0.62,1,-0.04,0.38,0.69,0.68,-0.1,0.28,-0.07,-0.12,-0.01,-0.08,-0.12,-0.01,-0.11,0.88,-0.11,0.03,-0.08,-0.04,-0.11,0.28,-0.12,-0.06,0.32,-0.04,-0.05,-0.12,-0.07,-0.1
-0.01,0.05,-0.02,-0.01,0.04,-0.02,-0.02,-0.03,0,-0.03,-0.02,-0.05,-0.05,-0.04,1,0,-0.04,0,-0.07,-0.01,0.02,0.02,0.04,-0.02,-0.04,-0.03,-0.05,-0.03,0.05,0.06,-0.05,-0.03,-0.04,-0.04,-0.02,-0.01,-0.07,-0.02,0,-0.03,0.22,0.03
0,0.08,0.36,-0.04,-0.07,0.5,0.6,0.09,0.25,-0.01,-0.11,-0.04,0.26,0.38,0,1,0.34,0.81,-0.07,0.8,0,-0.07,0.07,-0.06,-0.09,0.03,-0.07,0.4,-0.08,0.1,0.02,-0.02,-0.06,0.39,-0.09,0.16,0.13,0.2,0.01,-0.09,-0.06,-0.07
-0.03,-0.04,0.95,-0.07,-0.1,0.41,0.35,0.03,0.3,-0.06,-0.15,-0.07,0.89,0.69,-0.04,0.34,1,0.67,-0.1,0.24,-0.07,-0.12,-0.02,-0.05,-0.12,-0.01,-0.11,0.83,-0.11,0.02,-0.09,-0.04,-0.11,0.27,-0.13,-0.06,0.41,-0.05,-0.06,-0.13,-0.06,-0.09
0.01,0.04,0.68,-0.04,-0.08,0.71,0.72,0.13,0.38,-0.01,-0.12,-0.03,0.56,0.68,0,0.81,0.67,1,-0.07,0.65,-0.03,-0.09,0.07,-0.05,-0.1,0.06,-0.08,0.74,-0.09,0.11,-0.01,-0.02,-0.08,0.5,-0.1,0.07,0.3,0.1,-0.01,-0.1,-0.05,-0.08
-0.04,-0.08,-0.09,-0.09,0.06,-0.08,-0.09,-0.1,-0.11,0.02,-0.01,-0.09,-0.11,-0.1,-0.07,-0.07,-0.1,-0.07,1,-0.04,0.01,0.04,0.12,0,0.01,-0.08,-0.01,-0.1,0.02,-0.06,-0.07,-0.06,0.02,-0.08,-0.01,0.09,0.38,0.09,-0.07,0.01,0.01,0.1
-0.01,0.07,0.25,-0.05,-0.07,0.36,0.49,0.06,0.19,-0.03,-0.1,-0.05,0.18,0.28,-0.01,0.8,0.24,0.65,-0.04,1,0.02,-0.02,0.09,-0.07,-0.08,0.01,-0.07,0.29,-0.03,0.06,0.09,-0.02,-0.05,0.45,-0.09,0.41,0.1,0.46,-0.02,-0.09,-0.07,-0.01
0.62,0.37,-0.06,0.02,0.08,-0.05,-0.04,-0.05,-0.07,0.06,0.45,0,-0.08,-0.07,0.02,0,-0.07,-0.03,0.01,0.02,1,-0.05,-0.06,-0.03,0.32,0.02,0.12,-0.07,-0.07,-0.01,0.39,0.02,0.02,-0.01,0.36,-0.02,-0.11,-0.02,0.17,0.35,-0.01,-0.01
-0.07,-0.08,-0.12,-0.06,-0.06,-0.1,-0.1,-0.09,-0.1,0.04,-0.07,-0.08,-0.13,-0.12,0.02,-0.07,-0.12,-0.09,0.04,-0.02,-0.05,1,0.3,-0.06,-0.08,-0.07,-0.01,-0.11,0.47,-0.07,-0.08,-0.05,0.15,-0.06,-0.09,0.47,0.03,0.41,-0.07,-0.1,-0.05,0.44
-0.07,-0.05,-0.01,-0.05,-0.06,0.01,0.02,-0.06,-0.03,0.06,-0.1,-0.07,-0.04,-0.01,0.04,0.07,-0.02,0.07,0.12,0.09,-0.06,0.3,1,-0.01,-0.08,-0.05,0.01,0,0.08,0,-0.07,-0.06,0.06,0.01,-0.1,0.22,0.25,0.22,-0.05,-0.1,-0.05,0.14
-0.07,-0.03,0,-0.07,0.27,-0.08,-0.08,-0.07,0.07,0.56,0.07,-0.09,-0.07,-0.08,-0.02,-0.06,-0.05,-0.05,0,-0.07,-0.03,-0.06,-0.01,1,0.01,-0.07,0.27,-0.06,-0.04,0.55,-0.07,-0.06,0.24,-0.1,-0.04,-0.03,0.11,-0.03,-0.07,0.01,0,-0.04
0.14,0.04,-0.12,-0.03,0.35,-0.1,-0.11,-0.09,-0.11,-0.02,0.19,-0.04,-0.12,-0.12,-0.04,-0.09,-0.12,-0.1,0.01,-0.08,0.32,-0.08,-0.08,0.01,1,-0.04,0.04,-0.12,-0.06,-0.06,0.08,-0.03,-0.05,-0.09,0.21,-0.08,-0.14,-0.08,-0.01,0.15,-0.03,-0.07
0.06,0.05,-0.01,0.25,-0.02,0.11,0.14,0.11,-0.03,-0.05,-0.03,0.56,-0.03,-0.01,-0.03,0.03,-0.01,0.06,-0.08,0.01,0.02,-0.07,-0.05,-0.07,-0.04,1,-0.05,-0.01,-0.07,-0.03,0.19,-0.04,-0.06,-0.01,-0.05,-0.07,-0.07,-0.06,0.05,-0.03,-0.03,-0.07
0.01,-0.02,-0.1,-0.06,0.04,-0.08,-0.09,-0.08,-0.07,0.67,0.02,-0.06,-0.11,-0.11,-0.05,-0.07,-0.11,-0.08,-0.01,-0.07,0.12,-0.01,0.01,0.27,0.04,-0.05,1,-0.1,-0.01,0.08,0.05,-0.04,0.39,-0.09,0.05,-0.01,0.03,-0.01,-0.04,0.04,-0.06,-0.03
-0.03,-0.04,0.84,-0.06,-0.09,0.44,0.4,0.05,0.32,-0.04,-0.14,-0.07,0.8,0.88,-0.03,0.4,0.83,0.74,-0.1,0.29,-0.07,-0.11,0,-0.06,-0.12,-0.01,-0.1,1,-0.11,0.04,-0.08,-0.04,-0.1,0.31,-0.12,-0.05,0.35,-0.04,-0.05,-0.12,-0.06,-0.09
-0.08,-0.08,-0.1,-0.06,-0.03,-0.09,-0.1,-0.09,-0.09,0.03,-0.07,-0.07,-0.12,-0.11,0.05,-0.08,-0.11,-0.09,0.02,-0.03,-0.07,0.47,0.08,-0.04,-0.06,-0.07,-0.01,-0.11,1,-0.06,-0.08,-0.05,0.14,-0.06,-0.07,0.52,0.02,0.43,-0.07,-0.09,-0.04,0.54
-0.04,0.01,0.05,-0.04,0.01,0.05,0.07,-0.01,0.27,0.31,-0.06,-0.06,0,0.03,0.06,0.1,0.02,0.11,-0.06,0.06,-0.01,-0.07,0,0.55,-0.06,-0.03,0.08,0.04,-0.06,1,-0.06,-0.05,0.05,0,-0.08,-0.03,0.08,-0.02,-0.03,-0.06,-0.04,-0.05
0.18,0.11,-0.08,0.02,-0.01,-0.03,-0.02,-0.05,-0.09,0.06,0.1,0.12,-0.1,-0.08,-0.05,0.02,-0.09,-0.01,-0.07,0.09,0.39,-0.08,-0.07,-0.07,0.08,0.19,0.05,-0.08,-0.08,-0.06,1,-0.03,0.02,0.31,0.06,0,-0.12,0.02,0.05,0.05,-0.07,-0.07
0,-0.02,-0.03,-0.05,-0.04,-0.03,-0.03,-0.04,-0.04,-0.05,-0.04,-0.05,-0.05,-0.04,-0.03,-0.02,-0.04,-0.02,-0.06,-0.02,0.02,-0.05,-0.06,-0.06,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.03,1,-0.06,-0.04,-0.02,-0.04,-0.07,-0.04,-0.04,-0.03,-0.05,-0.04
-0.04,-0.05,-0.1,-0.07,-0.04,-0.09,-0.1,-0.08,-0.08,0.69,-0.05,-0.08,-0.12,-0.11,-0.04,-0.06,-0.11,-0.08,0.02,-0.05,0.02,0.15,0.06,0.24,-0.05,-0.06,0.39,-0.1,0.14,0.05,0.02,-0.06,1,-0.08,-0.06,0.08,0.07,0.08,-0.06,-0.06,-0.07,0.06
-0.03,-0.01,0.28,-0.06,-0.08,0.31,0.31,0.01,0.13,-0.05,-0.11,-0.05,0.22,0.28,-0.04,0.39,0.27,0.5,-0.08,0.45,-0.01,-0.06,0.01,-0.1,-0.09,-0.01,-0.09,0.31,-0.06,0,0.31,-0.04,-0.08,1,-0.1,0.14,0.09,0.16,-0.04,-0.1,-0.08,-0.05
0.14,0.07,-0.12,-0.02,0.28,-0.1,-0.11,-0.09,-0.12,-0.03,0.46,-0.03,-0.13,-0.12,-0.02,-0.09,-0.13,-0.1,-0.01,-0.09,0.36,-0.09,-0.1,-0.04,0.21,-0.05,0.05,-0.12,-0.07,-0.08,0.06,-0.02,-0.06,-0.1,1,-0.1,-0.16,-0.09,0.01,0.69,-0.04,-0.08
-0.06,-0.03,-0.05,-0.08,-0.07,-0.02,0.02,-0.07,-0.04,0.03,-0.06,-0.09,-0.08,-0.06,-0.01,0.16,-0.06,0.07,0.09,0.41,-0.02,0.47,0.22,-0.03,-0.08,-0.07,-0.01,-0.05,0.52,-0.03,0,-0.04,0.08,0.14,-0.1,1,0.14,0.99,-0.07,-0.11,-0.08,0.64
-0.1,-0.1,0.39,-0.11,-0.1,0.16,0.12,-0.06,0.09,0.17,-0.15,-0.11,0.33,0.32,-0.07,0.13,0.41,0.3,0.38,0.1,-0.11,0.03,0.25,0.11,-0.14,-0.07,0.03,0.35,0.02,0.08,-0.12,-0.07,0.07,0.09,-0.16,0.14,1,0.14,-0.1,-0.16,-0.09,0.12
-0.06,-0.02,-0.04,-0.07,-0.07,0,0.04,-0.06,-0.02,0.04,-0.06,-0.08,-0.07,-0.04,-0.02,0.2,-0.05,0.1,0.09,0.46,-0.02,0.41,0.22,-0.03,-0.08,-0.06,-0.01,-0.04,0.43,-0.02,0.02,-0.04,0.08,0.16,-0.09,0.99,0.14,1,-0.06,-0.1,-0.08,0.52
0.07,0.16,-0.05,0,-0.02,-0.02,-0.01,-0.04,-0.06,-0.04,0.01,0.01,-0.06,-0.05,0,0.01,-0.06,-0.01,-0.07,-0.02,0.17,-0.07,-0.05,-0.07,-0.01,0.05,-0.04,-0.05,-0.07,-0.03,0.05,-0.04,-0.06,-0.04,0.01,-0.07,-0.1,-0.06,1,0.02,-0.05,-0.07
0.14,0.08,-0.12,0.02,0.22,-0.1,-0.11,-0.09,-0.11,-0.02,0.41,-0.02,-0.13,-0.12,-0.03,-0.09,-0.13,-0.1,0.01,-0.09,0.35,-0.1,-0.1,0.01,0.15,-0.03,0.04,-0.12,-0.09,-0.06,0.05,-0.03,-0.06,-0.1,0.69,-0.11,-0.16,-0.1,0.02,1,-0.04,-0.09
-0.03,-0.03,-0.04,0.13,0.06,-0.05,-0.06,-0.06,-0.05,-0.06,-0.03,-0.02,-0.07,-0.07,0.22,-0.06,-0.06,-0.05,0.01,-0.07,-0.01,-0.05,-0.05,0,-0.03,-0.03,-0.06,-0.06,-0.04,-0.04,-0.07,-0.05,-0.07,-0.08,-0.04,-0.08,-0.09,-0.08,-0.05,-0.04,1,-0.06
-0.04,-0.05,-0.08,-0.07,-0.07,-0.07,-0.09,-0.08,-0.08,0,-0.06,-0.08,-0.1,-0.1,0.03,-0.07,-0.09,-0.08,0.1,-0.01,-0.01,0.44,0.14,-0.04,-0.07,-0.07,-0.03,-0.09,0.54,-0.05,-0.07,-0.04,0.06,-0.05,-0.08,0.64,0.12,0.52,-0.07,-0.09,-0.06,1
