"id";"name"
"DEE0";"Sachsen-Anhalt"
"BG32";"Severen tsentralen"
"DE71";"Darmstadt"
"PL63";"Pomorskie"
"EL64";"Sterea Ellada"
"CZ04";"Severozápad"
"BE32";"Prov. Hainaut"
"EL53";"Dytiki Makedonia"
"ES51";"Cataluña"
"UKK3";"Cornwall and Isles of Scilly"
"NO05";"Vestlandet"
"FR21";"Champagne-Ardenne"
"FR81";"Languedoc-Roussillon"
"FI20";"Åland"
"LT00";"Lietuva"
"BG33";"Severoiztochen"
"FI1D";"Pohjois- ja Itä-Suomi"
"RO12";"Centru"
"UKE1";"East Yorkshire and Northern Lincolnshire"
"PL21";"Małopolskie"
"EL65";"Peloponnisos"
"EL43";"Kriti"
"ITC3";"Liguria"
"ES13";"Cantabria"
"UKC1";"Tees Valley and Durham"
"ES30";"Comunidad de Madrid"
"NO06";"Trøndelag"
"ITH1";"Provincia Autonoma di Bolzano/Bozen"
"PL33";"Świętokrzyskie"
"FRY4";"Réunion"
"UKD1";"Cumbria"
"AT22";"Steiermark"
"LU00";"Luxembourg"
"SE31";"Norra Mellansverige"
"PT17";"Lisboa"
"DEC0";"Saarland"
"FR61";"Aquitaine"
"FR83";"Corse"
"FR43";"Franche-Comté"
"HU33";"Dél-Alföld"
"DK02";"Sjælland"
"DE50";"Bremen"
"DE91";"Braunschweig"
"BE31";"Prov. Brabant Wallon"
"DE27";"Schwaben"
"BE21";"Prov. Antwerpen"
"FR10";"Île de France"
"HU10";"Közép-Magyarország"
"HR03";"Jadranska Hrvatska"
"FR23";"Haute-Normandie"
"BE22";"Prov. Limburg (BE)"
"UKL2";"East Wales"
"NL23";"Flevoland"
"CH03";"Nordwestschweiz"
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area"
"AT34";"Vorarlberg"
"DE40";"Brandenburg"
"FR53";"Poitou-Charentes"
"DE14";"Tübingen"
"HU23";"Dél-Dunántúl"
"DK03";"Syddanmark"
"DE13";"Freiburg"
"MT00";"Malta"
"CZ08";"Moravskoslezsko"
"DED4";"Chemnitz"
"CY00";"Kýpros"
"DE72";"Gießen"
"UKF2";"Leicestershire, Rutland and Northamptonshire"
"ES42";"Castilla-La Mancha"
"UKM3";"South Western Scotland"
"EE00";"Eesti"
"NL33";"Zuid-Holland"
"AT33";"Tirol"
"ITH4";"Friuli-Venezia Giulia"
"UKD7";"Merseyside"
"ITI4";"Lazio"
"UKI1";"Inner London"
"FI1B";"Helsinki-Uusimaa"
"FR63";"Limousin"
"SE33";"Övre Norrland"
"IE02";"Southern and Eastern"
"PL43";"Lubuskie"
"UKI2";"Outer London"
"NO04";"Agder og Rogaland"
"FI1C";"Etelä-Suomi"
"DE94";"Weser-Ems"
"PT20";"Região Autónoma dos Açores"
"ES52";"Comunidad Valenciana"
"UKM2";"Eastern Scotland"
"LV00";"Latvija"
"PT16";"Centro (PT)"
"EL51";"Anatoliki Makedonia, Thraki"
"BE35";"Prov. Namur"
"RO22";"Sud-Est"
"PL31";"Lubelskie"
"CZ02";"Střední Čechy"
"RO32";"Bucureşti - Ilfov"
"FR30";"Nord - Pas-de-Calais"
"ES11";"Galicia"
"RO42";"Vest"
"CH02";"Espace Mittelland"
"NL12";"Friesland (NL)"
"UKC2";"Northumberland and Tyne and Wear"
"UKG1";"Herefordshire, Worcestershire and Warwickshire"
"FR41";"Lorraine"
"FR82";"Provence-Alpes-Côte d'Azur"
"RO21";"Nord-Est"
"BG34";"Yugoiztochen"
"UKG2";"Shropshire and Staffordshire"
"SK03";"Stredné Slovensko"
"DE93";"Lüneburg"
"ITG2";"Sardegna"
"EL62";"Ionia Nisia"
"CZ05";"Severovýchod"
"PL22";"Śląskie"
"FRY2";"Martinique"
"UKK2";"Dorset and Somerset"
"BG31";"Severozapaden"
"RO31";"Sud - Muntenia"
"PL11";"Łódzkie"
"EL61";"Ipeiros"
"AT31";"Oberösterreich"
"BE33";"Prov. Liège"
"PT11";"Norte"
"CZ07";"Střední Morava"
"UKG3";"West Midlands"
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest"
"PT18";"Alentejo"
"UKE2";"North Yorkshire"
"FR51";"Pays de la Loire"
"UKD3";"Greater Manchester"
"BE24";"Prov. Vlaams-Brabant"
"ES43";"Extremadura"
"ITG1";"Sicilia"
"UKD4";"Lancashire"
"DE73";"Kassel"
"ES24";"Aragón"
"HU32";"Észak-Alföld"
"DE12";"Karlsruhe"
"ITI1";"Toscana"
"FRY3";"Guyane"
"NO03";"Sør-Østlandet"
"DEB1";"Koblenz"
"BG41";"Yugozapaden"
"UKH1";"East Anglia"
"PL41";"Wielkopolskie"
"DE26";"Unterfranken"
"SI03";"Zahodna Slovenija"
"DEA4";"Detmold"
"SK04";"Východné Slovensko"
"ITF3";"Campania"
"ITI2";"Umbria"
"PT15";"Algarve"
"NL21";"Overijssel"
"CH07";"Ticino"
"CZ01";"Praha"
"ITH5";"Emilia-Romagna"
"FR52";"Bretagne"
"ES41";"Castilla y León"
"BE34";"Prov. Luxembourg (BE)"
"PL34";"Podlaskie"
"SE22";"Sydsverige"
"FR26";"Bourgogne"
"CZ03";"Jihozápad"
"NL32";"Noord-Holland"
"ITC4";"Lombardia"
"ITF4";"Puglia"
"DEG0";"Thüringen"
"FRY1";"Guadeloupe"
"UKM6";"Highlands and Islands"
"UKE4";"West Yorkshire"
"SE11";"Stockholm"
"DE11";"Stuttgart"
"UKM5";"North Eastern Scotland"
"SE32";"Mellersta Norrland"
"DE60";"Hamburg"
"ITC2";"Valle d'Aosta/Vallée d'Aoste"
"CH01";"Région lémanique"
"BE25";"Prov. West-Vlaanderen"
"ITH2";"Provincia Autonoma di Trento"
"DEA3";"Münster"
"ITC1";"Piemonte"
"ES12";"Principado de Asturias"
"UKF3";"Lincolnshire"
"DEA5";"Arnsberg"
"HR04";"Kontinentalna Hrvatska"
"DEF0";"Schleswig-Holstein"
"PL32";"Podkarpackie"
"DE30";"Berlin"
"ES21";"País Vasco"
"DK05";"Nordjylland"
"PL42";"Zachodniopomorskie"
"NO07";"Nord-Norge"
"ITI3";"Marche"
"PL51";"Dolnośląskie"
"UKH2";"Bedfordshire and Hertfordshire"
"UKD6";"Cheshire"
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire"
"UKK4";"Devon"
"DE25";"Mittelfranken"
"AT21";"Kärnten"
"PL12";"Mazowieckie"
"PL61";"Kujawsko-Pomorskie"
"NO01";"Oslo og Akershus"
"FR42";"Alsace"
"DEA2";"Köln"
"EL54";"Thessalia"
"ITF1";"Abruzzo"
"FR22";"Picardie"
"IS02";"Landsbyggð"
"RO11";"Nord-Vest"
"RO41";"Sud-Vest Oltenia"
"SK01";"Bratislavský kraj"
"ITF2";"Molise"
"PL52";"Opolskie"
"FR62";"Midi-Pyrénées"
"ES53";"Illes Balears"
"AT11";"Burgenland (AT)"
"UKJ3";"Hampshire and Isle of Wight"
"SE12";"Östra Mellansverige"
"HU22";"Nyugat-Dunántúl"
"CZ06";"Jihovýchod"
"PT30";"Região Autónoma da Madeira"
"SE23";"Västsverige"
"SE21";"Småland med öarna"
"FR25";"Basse-Normandie"
"NL31";"Utrecht"
"BG42";"Yuzhen tsentralen"
"DED5";"Leipzig"
"IE01";"Border, Midland and Western"
"HU31";"Észak-Magyarország"
"UKE3";"South Yorkshire"
"DE92";"Hannover"
"ES70";"Canarias"
"UKJ2";"Surrey, East and West Sussex"
"ES64";"Ciudad Autónoma de Melilla"
"DEA1";"Düsseldorf"
"DE80";"Mecklenburg-Vorpommern"
"DE21";"Oberbayern"
"CH06";"Zentralschweiz"
"UKL1";"West Wales and The Valleys"
"UKN0";"Northern Ireland"
"ES23";"La Rioja"
"DE22";"Niederbayern"
"NL11";"Groningen"
"EL63";"Dytiki Ellada"
"ES22";"Comunidad Foral de Navarra"
"FR71";"Rhône-Alpes"
"FR72";"Auvergne"
"IS01";"Höfuðborgarsvæði"
"FI19";"Länsi-Suomi"
"NL22";"Gelderland"
"NO02";"Hedmark og Oppland"
"EL41";"Voreio Aigaio"
"AT32";"Salzburg"
"PL62";"Warmińsko-Mazurskie"
"UKJ4";"Kent"
"CH05";"Ostschweiz"
"ES62";"Región de Murcia"
"UKF1";"Derbyshire and Nottinghamshire"
"NL13";"Drenthe"
"DED2";"Dresden"
"DEB3";"Rheinhessen-Pfalz"
"SI04";"Vzhodna Slovenija"
"ES61";"Andalucía"
"DE24";"Oberfranken"
"AT12";"Niederösterreich"
"UKH3";"Essex"
"ITF6";"Calabria"
"EL52";"Kentriki Makedonia"
"EL42";"Notio Aigaio"
"DEB2";"Trier"
"DK04";"Midtjylland"
"SK02";"Západné Slovensko"
"FR24";"Centre"
"ITH3";"Veneto"
"BE23";"Prov. Oost-Vlaanderen"
"DK01";"Hovedstaden"
"AT13";"Wien"
"CH04";"Zürich"
"ITF5";"Basilicata"
"EL30";"Attiki"
"HU21";"Közép-Dunántúl"
"DE23";"Oberpfalz"
